layer;"Depositie - nh3_Landbouw-Stallen Pluimvee
";"Depositie - nh3_Landbouw-Mestopslag
";"Depositie - nh3_Landbouw-Beweiding
";"Depositie - nh3_Mobiele werktuigen
";"Depositie - nh3_Landbouw-Mestbe- en verwerking
";"Depositie - nh3_Landbouw-Mestaanwending
";"Depositie - nh3_Vliegverkeer en railverkeer
";"Depositie - nh3_Industrie en afvalverwerking
";"Depositie - nh3_Wegverkeer
";"Depositie - nh3_Zeescheepvaart
";"Depositie - nh3_Visserij
";"Depositie - nh3_Landbouw-Stallen Varkens
";"Depositie - nh3_Landbouw-Stallen Rundvee
";"Depositie - nh3_Landbouw-Overige landbouw
";"Depositie - nh3_Binnenvaart
";"Depositie - nh3_Overige sectoren
";"Depositie - nh3_Energie
"
label;;;;;;;;;;;;;;;;;
Gelderland;1533160.855;433176.676;133527.7654;9012.61261;93042.7069;3739609.84;35.0624658377;98655.6056;394643.0773;;;1537705.19;3872083.37;181714.149;531.138431183;1584438.529;1309.1028333
Noord-Brabant;1890346.61;479256.5855;96579.9538;10668.14317;295747.4531;3398247.67;8.4196759802;165186.86711;505819.705;24.169669955;1.221061599;3435348.212;3038636.764;338398.428;377.626672255;3613757.8;1667.9093428
Limburg;1094369.1188;325466.2117;35752.0428;3667.50339;151764.5698137;1163417.428;9.8365623731;182330.5257;160427.726;;;1385171.4967;718077.64;186618.122;93.7148;779030.307;156.61762445
Zeeland;115156.16928;40454.70025;23141.82774;2736.085971;6210.59134;1964524.901;0.3125324562;125600.11915;55258.9046;520.4694461;14.64231046;111315.0211;253322.4592;364145.7781;214.71929046;358568.3769;14.67018267
Fryslân;343662.121026;134727.77912;128883.459;4440.127792;32735.320158;3208656.5032;9.2023492669;48920.2232829;86873.65586;27.5055966113;30.9159501359;73715.48180776;2833415.9198;107726.894188607;49.9348519141;667427.1086;104.0671141
Flevoland;208925.7558;66121.1238;17304.5957;2881.26472;11076.73188;1458964.821;0.0935731384;44552.1987;88717.8818;5.421491644;0.059211282999999997;63721.1779;572563.25;269637.986;92.8868237;395803.138;350.30940142
Groningen;308923.419;75659.34453;57255.3606;2703.115517;15155.674102;2630193.312;17.777248317;43440.055890999996;70140.0736;14.827764829;1.5895694617;142593.776587;1185052.028;368594.558;25.750436816;523843.4108;1078.94772239
Drenthe;479953.764;120123.0852;59250.3389;3265.0099;19997.684;1906431.28;1.2759732556;45555.3673;100685.7667;1.38999e-05;;225361.119;1503573.35;275567.316;2.2171491761;672311.659;151.0710409
Zuid-Holland;41271.148256;52608.47082;82405.77786;13307.77441;9322.4405482;2184227.049;36.12623497;99543.47324;438778.8281;939.271114407;18.1314423135;89215.982309;948312.9583;202069.1329;688.47172179;1918684.935;2361.7541753
Utrecht;284164.966;126697.436;66932.271;5508.5114;21291.2373;1338272.78;4.682163262;15548.1237;253121.391;4.468783403;0.02632764;212021.271;1201376.32;23644.5446;237.1983702;930835.97;506.292939
Noord-Holland;51074.446122;48898.87489;101493.7359;8342.65391;7157.254488;2458172.751;33.7539259536;221927.357446;352260.36155;352.9038680436;26.9864361477;24552.88413;1037317.296;139263.017;141.078202861;1404320.714;2465.49096098
Overijssel;816071.5;249638.14;86834.9586;5275.54457;66737.7769;2753436.32;3.6212297348;80971.3586;163616.5513;;;1072494.582;3125532.43;105117.0074;27.761457732;940953.482;462.5204915
